date,bounty_open,bounty_open_unassigned,bounty_fresh_30d,sampled_n,sampled_with_amount
2026-08-20,4176,3749,587,,
2026-08-21,4289,3863,533,100,11
2026-08-22,4286,3858,511,100,13
2026-08-23,4305,3877,511,100,33
2026-08-24,4324,3896,521,100,33
2026-08-25,4379,3947,563,100,37
2026-08-26,4235,3803,523,100,43
2026-08-27,4309,3794,586,100,35
2026-08-28,4365,3838,631,100,44
2026-08-29,4357,3817,623,100,48
2026-08-30,4335,3815,590,100,46
2026-08-31,4337,3841,594,100,56
2026-09-01,4311,3831,556,100,39
2026-09-02,4275,3823,511,100,27
2026-09-03,4256,3821,492,100,29
